,Date,Pos,Neg,Tweet_date,text,favorites,retweets,Senti,score
13,2017년 8월 3주,72.40%,21.00%,2017-08-13,"제25회 세계 잼버리대회 새만금 유치를 축하합니다. 대회 유치를 위해 애써주신 한국스카우트연맹을 비롯해 관계자 여러분께 감사드리며 전라북도의 노력도 새만금의 발전으로 이어지기를 바랍니다. 여러분 고맙습니다. #고마워요_문재인 취임 100일 최고의 선물입니다. 제가 더 고맙습니다. 지난 100일 국민여러분 덕분으로 잘 올 수 있었습니다. 앞으로 더 많은 시간들도 국민여러분과 함께 가겠습니다. #국민여러분_감사합니다 사랑합니다.국민 여러분이 국정운영의 가장 큰 힘입니다. 국민과 함께 가겠습니다. 다시 한 번 함께해주신 국민 여러분께 감사드리며, 국민의 마음을 끝까지 지켜가겠다는 다짐의 말씀을 드립니다.오늘로 새 정부 출범 100일을 맞았습니다. 그동안 부족함은 없었는지 돌아보고 각오를 새롭게 다지기 위해 자리를 마련했습니다. 국민의 나라, 정의로운 대한민국을 만들자는 국민의 희망, 이것이 문재인 정부의 출발이었습니다.",4636.0,6273.833334,[-0.5395626   0.36386058],1
14,2017년 8월 4주,73.90%,19.70%,2017-08-20,합참의장 이취임식에 대통령이 참석한 것은 건군이래 처음이라고 들었습니다. 오늘 명예롭게 전역하는 이순진 합참의장과 부인에게 대통령의 특별한 전역선물을 드렸습니다. 새로운 삶이 행복하길 기원합니다.,3805.0,5736.0,[-2.9737089  2.818445 ],1
15,2017년 8월 5주,73.40%,21.50%,2017-08-27,"청와대 점심 메뉴에 대한 박용진 의원의 글은 역설적인 표현으로 여유 있게 봤으면 좋겠습니다. 우리가 워낙 팍팍한 정치를 오랫동안 겪었기 때문에 여유를 가질 수가 없었지만, 이젠 좀 달라져도 되지 않을까 생각합니다.",3250.0,4731.0,[-2.9737089  2.818445 ],1
16,2017년 9월 1주,69.10%,24.60%,2017-09-03,"오늘은 평창 동계올림픽 2차 티켓 발매가 시작되는 날입니다. 저도 평창 동계올림픽 홈페이지에서 직접 예매를 해 봤습니다. 2018년 2월, 여러분은 누구와 어디에 계시겠습니까? 저와 함께 평창에서 만납시다! https://tickets.pyeongchang2018.com/Session 존경하는 국민 여러분, 정부는 경북 성주에 사드체계 잔여발사대를 임시 배치하였습니다. 그간 우리 정부는 북한의 추가적인 도발을 막고 비핵화 대화의 조건을 만들어가기 위해 다양한 노력을 전개해 왔습니다.",5155.0,6280.5,[-1.979942   1.8634189],1
17,2017년 9월 2주,67.10%,26.80%,2017-09-10,,,,[-2.9737089  2.818445 ],1
18,2017년 9월 3주,65.60%,29.40%,2017-09-17,"오늘 새벽 강릉 석란정에서 화재 진압중이던 소방관 두 분이 순직하셨습니다. 이영욱 소방위님은 정년을 앞두었고 이호현 소방사님은 올해 초 임용된 새내기였습니다. 두 분의 희생에 깊은 슬픔을 느낍니다.윤이상 탄생 100돌을 맞는 오늘, 국민과 함께 윤이상이 사랑했던 이 땅, 이 바다, 이 하늘의 소리를 그의 음악에서 발견하고 즐길 날을 기대해봅니다. G20 회의에서 만났던 트뤼도 총리와 세계시민상 수상으로 다시 만나게 되어 반가웠습니다. 대기실에서 함께하는 동안 한국과 캐나다간 무역과 북핵 대응에 대해 이야기를 나눴습니다. 트뤼도 총리의 세계시민상 수상을 축하드립니다.",5592.75,6118.25,[ 0.9202864  -0.73754185],0
19,2017년 9월 4주,67.70%,26.00%,2017-09-24,,,,[-2.9737089  2.818445 ],1
20,2017년 10월 2주,68.50%,25.80%,2017-10-01,국민타자' 이승엽 선수의 은퇴소식에 아쉬움과 함께 축하를 보냅니다. 홈런?타점?득점 등 5개 부분에서 프로야구 역대 개인 통산 최다 기록을 보유한 이승엽 선수.덕분에 우리 국민들이 좋은 추억을 공유할 수 있었습니다. 고맙습니다.대한민국과 대한민국 국민을 대표하여 어제 라스베이거스에서 전세계를 경악시킨 비극적인 총격 사건이 발생하여 수 많은 무고한 사람들이 희생된데 대해 심심한 애도의 뜻을 표하며 위로의 말씀을 전합니다.,4721.0,5443.5,[0.03482933 0.26383668],1
21,2017년 10월 3주,67.80%,27.00%,2017-10-08,"한글날입니다. 유엔총회에 갔을 때 전시된 활자본 월인천강지곡을 보았습니다. 한글 창제와 함께 세계에서 가장 앞섰던 금속활자 인쇄를 전세계에 소개하고 있었습니다. 배우기 쉽고 소통하기 쉬운 한글, 참으로 자랑스럽고 소중합니다. 헌법재판소법에 의해 선출된 헌재소장 권한대행에 대해 업무보고도 받을 수 없다고 하는 것은 국회 스스로 만든 국법질서에 맞지 않는 일입니다. 김이수 권한대행께 대통령으로서 사과 드리며 국회의원들께도 3권 분립을 존중해 주실 것을 정중하게 요청드립니다.",6453.5,7027.5,[0.03321666 0.26492354],1
22,2017년 10월 4주,67.20%,26.40%,2017-10-15,,,,[-2.9737089  2.818445 ],1
23,2017년 11월 1주,70.30%,23.90%,2017-10-22,"존경하는 국민 여러분, 3개월에 걸친 신고리 5·6호기 공론화 과정이 마무리되었습니다. 정부는 그 결과에 따라 신고리 5·6호기 건설을 조속히 재개하겠습니다. 국민을 대표하여 어려운 선택을 해주신 시민참여단 여러분과 전문가 여러분께도 감사드립니다. 오늘, 촛불집회 1년을 기억하며 촛불의 의미를 되새겨봅니다. 촛불의 열망과 기대, 잊지 않겠습니다. 국민의 뜻을 앞세우겠습니다. 국민과 끝까지 함께 가겠습니다.",6978.5,8190.0,[ 0.9746704  -0.83467525],0
24,2017년 11월 2주,70.10%,24.10%,2017-10-29,,,,[-2.9737089  2.818445 ],1
25,2017년 11월 3주,71.60%,24.20%,2017-11-05,미국 텍사스주에서 일어나 총격 사건으로 많은 사상자가 발생한 데 충격을 금할 수 없습니다. 한국 정부와 국민을 대표하여 깊은 애도를 표하며 트럼프 대통령에게 조전을 보냈습니다. 부상자들의 조속한 쾌유 또한 기원합니다.,4193.0,4963.0,[-2.9737089  2.818445 ],1
26,2017년 11월 4주,73.00%,21.40%,2017-11-12,어제 갑작스런 지진으로 많이 놀라셨을 것입니다. 피해를 입은 포항과 인근 지역 주민 여러분께 위로의 말씀을 드립니다. 정부는 어제 종합적인 상황 판단 끝에 수능 연기를 결정했습니다. 최선의 노력을 다하겠습니다. 국민 여러분께서도 함께 힘을 모아 주시기 바랍니다.,15310.0,13155.0,[-2.9737089  2.818445 ],1
27,2017년 11월 5주,71.50%,22.80%,2017-11-19,,,,[-2.9737089  2.818445 ],1
28,2017년 12월 1주,70.80%,23.80%,2017-11-26,"헬로우 평창 사이트에서 진행하는 올림픽 경기 티켓 인증 이벤트에 참여했습니다. 경기를 재미있게 관람하기 위한 아이디어도 공모한다니 많은 참여부탁드립니다. 하나된 열정으로 만들어갈 평화 올림픽! 2018 평창동계올림픽을 기대하고 응원합니다. https://www.hellopyeongchang.com/main/rcheck2/?page=4&amp;v=4&amp;vidx=8762 시리세나 스리랑카 대통령님의 한글 트윗, 반갑습니다. 어제 정상회담과 정상만찬을 통해 한결 가까워진 느낌입니다. 시리세나 대통령님의 국빈방문을 통해 한국과 스리랑카 양국의 협력이 다방면에서 깊어지고 또 넓어지길 기대합니다.",4393.0,5247.5,[-0.58207536  0.6446098 ],1
29,2017년 12월 2주,68.60%,25.70%,2017-12-03,,,,[-2.9737089  2.818445 ],1
30,2017년 12월 3주,69.90%,25.10%,2017-12-10,,,,[-2.9737089  2.818445 ],1
31,2017년 12월 4주,68.50%,25.00%,2017-12-17,어제 특별한 분들과 짧은 강원도 여행을 했습니다. '헬로우 평창' 이벤트에 참여해주신 시민 20분과 함께 개통 예정인 경강선을 달렸습니다. 홍보대사로서 올림픽 성공에 대한 기대와 함께 걱정도 큽니다만 국민들의 참여가 이어진다면 세계의 평화올림픽으로 반드시 성공하리라 믿습니다.,4820.0,7587.0,[0.0348199 0.2640364],1
32,2018년 1월 1주,71.60%,24.10%,2017-12-24,위안부 TF의 조사결과 발표를 보면서 대통령으로서 무거운 마음을 금할 수 없습니다. 2015년 한·일 양국 정부간 위안부 협상은 절차적으로나 내용적으로나 중대한 흠결이 있었음이 확인되었습니다. 역사에서 가장 중요한 것은 진실입니다. 진실을 외면한 자리에서 길을 낼 수는 없습니다.,8982.0,9650.0,[0.03673621 0.2625844 ],1
33,2018년 1월 2주,70.60%,23.80%,2017-12-31,"북한산 비봉 사모바위에서 새해 새아침의 일출을 맞았습니다. 작년 무등산 산행에서 품었던 소망은 거의 이루어졌습니다. 우리 국민들은 나라를 다시 일으켜 세웠습니다. 국민 여러분, 지난 해 정말 수고 많으셨습니다. 새해엔 더 큰 복 받으시고, 모두 건강하십시오. https://goo.gl/Rxmm8j",6202.0,10034.0,[0.0346983  0.26343206],1
34,2018년 1월 3주,66.00%,29.30%,2018-01-07,,,,[-2.9737089  2.818445 ],1
35,2018년 1월 4주,60.80%,34.60%,2018-01-14,,,,[-2.9737089  2.818445 ],1
36,2018년 1월 5주,63.50%,32.40%,2018-01-21,"생일 축하, 고맙습니다. 생일을 챙기지 않는 삶을 살아왔는데, 대통령이 되어 많은 분들로부터 축하를 받으니 두 번 다시 없을 특별한 생일이 됐습니다. 더 힘내어 더 잘하라는 走馬加鞭으로 받아들입니다. 진심으로 감사드립니다. 박항서 감독님이 이끈 베트남 대표팀이 아시아축구연맹(AFC) U-23 챔피언십에서 준우승을 했습니다. 눈보라 속에서 연장까지 최선을 다하는 모습 그 자체로 진정한 스포츠 정신을 보여주었습니다. 박 감독님의 활약과 베트남 축구대표팀의 선전에 박수를 보냅니다. https://goo.gl/UEkV2g수고한 정현 선수 @HyeonChung 에게 축전을 보냈습니다. 정현 선수는 한국 스포츠에 또 하나의 새로운 역사를 만들었고, 국민들에게 큰 자부심과 기쁨을 주었습니다. 너무나 장하고 자랑스럽습니다. 수고하셨습니다. 가족들과 코칭스태프 여러분도 고생 많으셨습니다. 감사합니다.",11437.25,15768.0,[0.03249954 0.2658588 ],1
37,2018년 2월 1주,63.50%,32.10%,2018-01-28,"우리의 소리, 한 자락이 사라진 듯 마음이 아픕니다. 고 황병기 선생님의 명복을 빌며 유가족분들께 위로의 말씀을 드립니다. 이제 고인의 모습을 무대에서 만날 수 없다는 것이 너무나 슬프고 아쉽습니다. 그러나 고인의 업적은 후대를 통해 길이 이어질 것입니다.",4099.0,6304.0,[-2.9737089  2.818445 ],1
38,2018년 2월 2주,63.10%,31.50%,2018-02-04,"추위가 매섭습니다. 이 추위 속에서도 전국에서 모인 자원봉사자들이 열심히 평창동계올림픽을 준비하고 있습니다. 국민 여러분, 자원봉사자들을 만나면 격려해주시고 따뜻하게 안아주십시오. 저도 이 겨울, 우리 자원봉사자들의 헌신을 꼭 기억하겠습니다. https://goo.gl/kLDPHZ Julie Payette, Governor General of Canada, gave a special gift. It is a picture of Korean Peninsula taken directly from outer space. ""If you look at the Korean peninsula on a blue sea over a spacecraft, you can see that it is not divided into two, but one."" she said. #peace4me줄리 파이예트 캐나다 총독께서 특별한 선물을 주셨습니다. 우주에서 직접 찍으신 한반도의 모습입니다. ""우주선을 타고 푸른 바다 위 한반도를 바라보면 두 개로 나눠져 있는 것이 아니라, 하나임을 알 수 있다"" 고 하셨습니다. 평창의 겨울, 서로의 손을 따뜻하게 잡아봅시다. #평화올림픽 #국가대표 Extending heartfelt thanks to President Berset. Let's cheer together as the unified Korean team and Switzerland meet at women's ice hockey. #Pyeonchang2018 #평화올림픽 #올림픽알랭 베르세 대통령님 감사합니다. 스위스는 2차 세계대전 후 최초의 '평화 올림픽'인 1948년 생모리츠 동계올림픽 개최국입니다. 평창에서도 평화 올림픽의 상징이라고 할 수 있는 여자 아이스하키 남북 단일팀이 스위스와 첫 경기를 치르는데, 양국 선수들 모두 선전을 기원합니다. #올림픽",4084.833333,5755.333333,[-1.2631735  1.366341 ],1
39,2018년 2월 3주,65.70%,28.90%,2018-02-11,"2018 평창 동계올림픽에서 대한민국에 첫 메달을 안겨준 쇼트트랙 임효준 선수에게 국민들과 함께 축하를 보냅니다. “다 같이 딴 메달이다”라는 임 선수의 소감이 참 인상적입니다. 나머지 경기에도 팀을 생각하는 마음으로 최선을 다해주시기 바랍니다. 사랑하는 국민 여러분, 새해 복 많이 받으십시오. 이번 설날은 평창 올림픽과 함께 해서 더욱 특별합니다. 세계에서 반가운 손님들이 찾아와 제대로 된 까치 설날을 맞았습니다. 올림픽으로 여는 희망찬 새해, 여러분 가정에 늘 웃음과 행복이 가득하시길 기원합니다. 감사합니다.#2018평창동계올림픽대회 스피드스케이팅 남자 1500m 에서 아시아 선수 최초로 동메달을 획득한 김민석 선수에게 축전을 보냈습니다. 진심으로 축하합니다. 첫 올림픽 무대에서 국민들에게 큰 기쁨을 주어 정말 장하고 대견합니다. 성적으로 보여주겠다는 자신감 넘치는 약속을 지켜줘서 고맙습니다. 윤성빈 선수의 스켈레톤 금메달을 축하하며 축전을 전했습니다. 국민들에게 최고의 설 선물이 되었습니다. 윤 선수는 새로운 분야에서도 도전하고 노력한다면 얼마든지 세계 최고가 될 수 있다는 것을 우리에게 보여주었습니다. 용기와 자신감이 생깁니다. 스켈레톤 황제 윤성빈 선수, 고맙습니다. 모든 대한민국 대표 선수 여러분, 아직 여러분의 도전은 끝나지 않았습니다. 부상없이 끝까지 최선을 다해주십시오. 여러분의 몸짓 하나하나에 국민들은 함께 긴장하고 함께 질주할 것입니다. 국민들과 함께 힘껏 응원하겠습니다. #2018평창 #올림픽 #응원해요올림픽에 출전하기 위해 4년 동안 얼마나 많은 땀을 흘리고 좌절을 이겨냈을지 더 깊이 느낄 수 있었습니다. 자신의 한계에 맞서고 도전하는 모습을 눈부시게 볼 수 있었습니다. 서이라 선수가 다시 일어나 역주를 펼칠 때는 관중들과 함께 아낌없는 박수를 보냈습니다.세계최강 대한민국 쇼트트랙 국가대표 선수 여러분, 수고 많으셨습니다. 메달을 딴 최민정 선수, 서이라 선수뿐 아니라 김아랑 선수, 임효준 선수, 심석희 선수, 황대헌 선수 모두 잘해주었습니다. 오늘 저는 경기장에서 여러분의 뜨거운 숨결과 체온을 직접 보고 느꼈습니다.",5521.833333,8333.125,[-2.8341913  2.5711555],1
