조사 기간,긍정,부정
2018년 7월 2주,68.10%,26.20%
2018년 7월 3주,62.90%,31.40%
2018년 7월 4주,61.10%,33.30%
2018년 8월 1주,63.20%,30.40%
2018년 8월 2주,58.00%,35.80%
2018년 8월 3주,56.30%,38.40%
2018년 8월 4주,56.00%,38.10%
2018년 8월 5주,55.20%,40.00%
2018년 9월 1주,53.50%,40.50%
2018년 9월 2주,53.10%,41.70%
2018년 9월 3주,61.90%,32.30%
2018년 9월 4주,65.30%,30.30%
2018년 10월 1주,62.70%,31.60%
2018년 10월 2주,61.90%,31.40%
2018년 10월 3주,60.40%,33.00%
2018년 10월 4주,58.70%,35.60%
2018년 10월 5주,55.60%,39.10%
2018년 11월 1주,55.40%,38.30%
2018년 11월 2주,53.70%,39.40%
2018년 11월 3주,52.00%,42.50%
2018년 11월 4주,48.40%,46.60%
2018년 12월 1주,49.50%,45.20%
2018년 12월 2주,48.50%,46.80%
2018년 12월 3주,47.10%,46.10%
2018년 12월 4주,45.90%,49.70%
2019년 1월 1주,46.40%,48.20%
2019년 1월 2주,49.60%,44.80%
2019년 1월 3주,49.10%,45.60%
2019년 1월 4주,47.70%,45.70%
2019년 1월 5주,48.80%,45.80%
2019년 2월 1주,50.40%,45.40%
2019년 2월 2주,49.80%,44.00%
2019년 2월 3주,51.00%,44.10%
2019년 2월 4주,49.40%,44.40%
2019년 3월 1주,46.30%,46.80%
2019년 3월 2주,44.90%,49.70%
2019년 3월 3주,47.10%,47.20%
2019년 4월 1주,47.50%,46.70%
2019년 4월 2주,48.00%,46.80%
2019년 4월 3주,48.20%,46.10%
2019년 4월 4주,47.40%,48.40%
2019년 5월 1주,49.10%,46.00%
2019년 5월 2주,48.60%,47.00%
2019년 5월 3주,49.40%,46.00%
2019년 5월 4주,50.00%,45.60%
2019년 5월 5주,48.30%,47.10%
2019년 6월 1주,48.00%,46.70%
2019년 6월 2주,49.50%,45.40%
2019년 6월 3주,46.70%,48.30%
2019년 6월 4주,47.60%,47.60%
2019년 7월 1주,51.30%,43.80%
2019년 7월 2주,47.80%,47.30%
2019년 7월 3주,51.80%,43.10%
2019년 7월 4주,52.10%,43.70%
2019년 7월 5주,49.90%,45.50%
2019년 8월 1주,50.40%,44.40%
2019년 8월 2주,49.40%,46.30%
2019년 8월 3주,46.20%,50.40%
2019년 8월 4주,46.50%,50.20%
2019년 9월 1주,46.30%,49.90%
2019년 9월 2주,47.20%,50.00%
2019년 9월 3주,45.20%,52.00%
2019년 9월 4주,47.30%,50.20%
2019년 10월 1주,44.40%,52.30%
2019년 10월 2주,41.40%,56.10%
2019년 10월 3주,45.00%,52.30%
2019년 10월 4주,45.70%,50.40%
2019년 10월 5주,47.50%,49.10%
2019년 11월 1주,44.50%,52.20%
2019년 11월 2주,47.80%,48.60%
2019년 11월 4주,47.60%,48.30%
2019년 12월 1주,47.50%,48.30%
2019년 12월 2주,49.30%,46.90%
2019년 12월 3주,47.60%,48.00%
2019년 12월 4주,49.70%,46.50%
2020년 1월 1주,49.00%,46.20%
2020년 1월 2주,48.80%,46.50%
2020년 1월 3주,45.30%,50.90%
2020년 1월 4주,47.00%,49.90%
2020년 1월 5주,45.00%,50.30%
2020년 2월 1주,46.90%,49.20%
2020년 2월 2주,46.60%,49.70%
2020년 2월 3주,47.40%,49.10%
2020년 2월 4주,46.10%,50.70%
2020년 3월 1주,47.90%,48.70%
2020년 3월 2주,47.20%,49.10%
2020년 3월 3주,49.30%,47.90%
 2020년 3월 4주,52.60%,44.10%
 2020년 4월 1주,53.70%,43.20%
 2020년 4월 2주,54.40%,42.30%
 2020년 4월 3주,58.30%,37.60%
 2020년 4월 4주,63.70%,32.40%
 2020년 4월 5주,60.60%,35.40%
 2020년 5월 1주,62.00%,32.40%
2020년 5월 2주,61.70%,33.10%
2020년 5월 3주,62.30%,32.60%
2020년 5월 4주,59.90%,35.30%
2020년 6월 1주,59.10%,35.90%
2020년 6월 2주,58.20%,37.00%
2020년 6월 3주,53.40%,41.80%
2020년 6월 4주,53.30%,42.70%
2020년 7월 1주,49.80%,45.50%
2020년 7월 2주,48.70%,46.50%
2020년 7월 3주,44.80%,51.00%
2020년 7월 4주,44.40%,52.20%
2020년 7월 5주,46.40%,49.40%
2020년 8월 1주,43.90%,52.40%
2020년 8월 2주,43.30%,52.60%
2020년 8월 3주,46.10%,50.80%
2020년 8월 4주,49.00%,46.70%
2020년 9월 1주,48.10%,48.10%
2020년 9월 2주,45.60%,50.00%
2020년 9월 3주,46.40%,50.10%
2020년 9월 4주,44.70%,51.50%
2020년 9월 5주,44.20%,51.90%
2020년 10월 1주,44.80%,51.80%
2020년 10월 2주,45.80%,50.00%
2020년 10월 3주,45.60%,49.60%
2020년 10월 4주,44.90%,50.90%
2020년 11월 1주,44.40%,50.20%
2020년 11월 2주,44.30%,51.00%
2020년 11월 3주,42.70%,53.00%
2020년 11월 4주,43.80%,52.20%
2020년 12월 1주,37.40%,57.40%
2020년 12월 2주,36.70%,58.20%
